alpha=-3,00000;gamma=1,00000;L=1;;;;;;;;;;
27,985;6,305;5,32961;2,32421;-3;27,985;6,305;5,32961;2,32421;29;8,115;0;2,1028
alpha=-3,00000;gamma=1,00000;L=3;;-4;28,275;7,595;4,52762;2,45377;29;9,725;0;2,22697
29;8,115;0;2,1028;-5;28,42;8,74;4,06;2,56562;29;11,365;0;2,46613
alpha=-3,00000;gamma=1,00000;L=5;;-10;28,275;11,105;4,52762;2,866;29;13,485;0;2,5159
29;8,78;0;2,08844;;;;;;;;;
alpha=-3,00000;gamma=1,00000;L=8;;;;;;;;;;
29;8,675;0;1,99984;-3;29;8,78;0;2,08844;29;8,675;0;1,99984
alpha=-4,00000;gamma=1,00000;L=1;;-4;29;10,48;0;2,38319;29;10,82;0;2,42231
28,275;7,595;4,52762;2,45377;-5;29;11,92;0;2,30946;29;12,28;0;2,35194
alpha=-4,00000;gamma=1,00000;L=3;;-10;29;14,13;0;2,37552;29;14,01;0;2,31515
29;9,725;0;2,22697;;;;;;;;;
alpha=-4,00000;gamma=1,00000;L=5;;;;;;;;;;
29;10,48;0;2,38319;;;;;;;;;
alpha=-4,00000;gamma=1,00000;L=8;;;;;;;;;;
29;10,82;0;2,42231;;;;;;;;;
alpha=-5,00000;gamma=1,00000;L=1;;;;;;;;;;
28,42;8,74;4,06;2,56562;;;;;;;;;
alpha=-5,00000;gamma=1,00000;L=3;;;;;;;;;;
29;11,365;0;2,46613;;;;;;;;;
alpha=-5,00000;gamma=1,00000;L=5;;;;;;;;;;
29;11,92;0;2,30946;;;;;;;;;
alpha=-5,00000;gamma=1,00000;L=8;;;;;;;;;;
29;12,28;0;2,35194;;;;;;;;;
alpha=-10,0000;gamma=1,00000;L=1;;;;;;;;;;
28,275;11,105;4,52762;2,866;;;;;;;;;
alpha=-10,0000;gamma=1,00000;L=3;;;;;;;;;;
29;13,485;0;2,5159;;;;;;;;;
alpha=-10,0000;gamma=1,00000;L=5;;;;;;;;;;
29;14,13;0;2,37552;;;;;;;;;
alpha=-10,0000;gamma=1,00000;L=8;;;;;;;;;;
